financial_year,state,area_of_expenditure,broad_source_of_funding,detailed_source_of_funding,real_expenditure_millions
2011-12,VIC,Public health,Government,Australian Government,333
2011-12,VIC,Public health,Government,State and local,168
2011-12,VIC,Public hospitals,Government,Australian Government,4023
2011-12,VIC,Public hospitals,Government,State and local,5074
2011-12,VIC,Research,Government,Australian Government,1310
2011-12,VIC,Research,Government,State and local,199
2011-12,QLD,Administration,Government,Australian Government,213
2011-12,QLD,Administration,Government,State and local,186
2011-12,QLD,Aids and appliances,Government,Australian Government,126
2011-12,QLD,All other medications,Government,Australian Government,110
2011-12,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,1659
2011-12,QLD,Capital expenditure,Government,Australian Government,62
2011-12,QLD,Capital expenditure,Government,State and local,1853
2011-12,QLD,Community health,Government,Australian Government,227
2011-12,QLD,Community health,Government,State and local,1822
2011-12,QLD,Dental services,Government,Australian Government,311
2011-12,QLD,Dental services,Government,State and local,188
2011-12,QLD,Medical expense tax rebate,Government,Australian Government,99
2011-12,QLD,Medical services,Government,Australian Government,3731
2011-12,QLD,Other health practitioners,Government,Australian Government,315
2011-12,QLD,Patient transport services,Government,Australian Government,38
2011-12,QLD,Patient transport services,Government,State and local,667
2011-12,QLD,Private hospitals,Government,Australian Government,886
2011-12,QLD,Private hospitals,Government,State and local,28
2011-12,QLD,Public health,Government,Australian Government,325
2011-12,QLD,Public health,Government,State and local,84
2011-12,QLD,Public hospitals,Government,Australian Government,3086
2011-12,QLD,Public hospitals,Government,State and local,4209
2011-12,QLD,Research,Government,Australian Government,591
2011-12,QLD,Research,Government,State and local,189
2011-12,WA,Administration,Government,Australian Government,99
2011-12,WA,Administration,Government,State and local,105
2011-12,WA,Aids and appliances,Government,Australian Government,66
2011-12,WA,All other medications,Government,Australian Government,56
2011-12,WA,Benefit-paid pharmaceuticals,Government,Australian Government,787
2011-12,WA,Capital expenditure,Government,Australian Government,31
2011-12,WA,Capital expenditure,Government,State and local,1160
2011-12,WA,Community health,Government,Australian Government,156
2011-12,WA,Community health,Government,State and local,616
2011-12,WA,Dental services,Government,Australian Government,101
2011-12,WA,Dental services,Government,State and local,73
2011-12,WA,Medical expense tax rebate,Government,Australian Government,25
2011-12,WA,Medical services,Government,Australian Government,1580
2011-12,WA,Other health practitioners,Government,Australian Government,139
2011-12,WA,Patient transport services,Government,Australian Government,31
2011-12,WA,Patient transport services,Government,State and local,167
2011-12,WA,Private hospitals,Government,Australian Government,382
2011-12,WA,Private hospitals,Government,State and local,374
2011-12,WA,Public health,Government,Australian Government,172
2011-12,WA,Public health,Government,State and local,105
2011-12,WA,Public hospitals,Government,Australian Government,1546
2011-12,WA,Public hospitals,Government,State and local,2629
2011-12,WA,Research,Government,Australian Government,279
2011-12,WA,Research,Government,State and local,73
2011-12,SA,Administration,Government,Australian Government,68
2011-12,SA,Administration,Government,State and local,0
2011-12,SA,Aids and appliances,Government,Australian Government,51
2011-12,SA,All other medications,Government,Australian Government,44
2011-12,SA,Benefit-paid pharmaceuticals,Government,Australian Government,691
2011-12,SA,Capital expenditure,Government,Australian Government,28
2011-12,SA,Capital expenditure,Government,State and local,311
2011-12,SA,Community health,Government,Australian Government,94
2011-12,SA,Community health,Government,State and local,640
2011-12,SA,Dental services,Government,Australian Government,129
2011-12,SA,Dental services,Government,State and local,66
2011-12,SA,Medical expense tax rebate,Government,Australian Government,45
2011-12,SA,Medical services,Government,Australian Government,1403
2011-12,SA,Other health practitioners,Government,Australian Government,118
2011-12,SA,Patient transport services,Government,Australian Government,19
2011-12,SA,Patient transport services,Government,State and local,187
2011-12,SA,Private hospitals,Government,Australian Government,219
2011-12,SA,Private hospitals,Government,State and local,4
2011-12,SA,Public health,Government,Australian Government,116
2011-12,SA,Public health,Government,State and local,73
2011-12,SA,Public hospitals,Government,Australian Government,1267
2011-12,SA,Public hospitals,Government,State and local,2065
2011-12,SA,Research,Government,Australian Government,304
2011-12,SA,Research,Government,State and local,33
2011-12,TAS,Administration,Government,Australian Government,21
2011-12,TAS,Aids and appliances,Government,Australian Government,15
2011-12,TAS,All other medications,Government,Australian Government,14
2011-12,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,231
2011-12,TAS,Capital expenditure,Government,Australian Government,12
2011-12,TAS,Capital expenditure,Government,State and local,103
2011-12,TAS,Community health,Government,Australian Government,22
2011-12,TAS,Community health,Government,State and local,117
2011-12,TAS,Dental services,Government,Australian Government,18
2011-12,TAS,Dental services,Government,State and local,25
2011-12,TAS,Medical expense tax rebate,Government,Australian Government,6
2011-12,TAS,Medical services,Government,Australian Government,444
2011-12,TAS,Other health practitioners,Government,Australian Government,34
2011-12,TAS,Patient transport services,Government,Australian Government,5
2011-12,TAS,Patient transport services,Government,State and local,69
2011-12,TAS,Private hospitals,Government,Australian Government,75
2011-12,TAS,Private hospitals,Government,State and local,0
2011-12,TAS,Public health,Government,Australian Government,43
2011-12,TAS,Public health,Government,State and local,16
2011-12,TAS,Public hospitals,Government,Australian Government,366
2011-12,TAS,Public hospitals,Government,State and local,508
2011-12,TAS,Research,Government,Australian Government,42
2011-12,TAS,Research,Government,State and local,8
2011-12,ACT,Administration,Government,Australian Government,56
2011-12,ACT,Administration,Government,State and local,1
2011-12,ACT,Aids and appliances,Government,Australian Government,10
2011-12,ACT,All other medications,Government,Australian Government,8
2011-12,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,103
2011-12,ACT,Capital expenditure,Government,Australian Government,10
2011-12,ACT,Capital expenditure,Government,State and local,174
2011-12,ACT,Community health,Government,Australian Government,14
2011-12,ACT,Community health,Government,State and local,156
2011-12,ACT,Dental services,Government,Australian Government,21
2011-12,ACT,Dental services,Government,State and local,11
2011-12,ACT,Medical expense tax rebate,Government,Australian Government,2
2011-12,ACT,Medical services,Government,Australian Government,278
2011-12,ACT,Other health practitioners,Government,Australian Government,37
2011-12,ACT,Other health practitioners,Government,State and local,2
2011-12,ACT,Patient transport services,Government,Australian Government,5
2011-12,ACT,Patient transport services,Government,State and local,17
2011-12,ACT,Private hospitals,Government,Australian Government,58
2011-12,ACT,Private hospitals,Government,State and local,5
2011-12,ACT,Public health,Government,Australian Government,26
2011-12,ACT,Public health,Government,State and local,28
2011-12,ACT,Public hospitals,Government,Australian Government,256
2011-12,ACT,Public hospitals,Government,State and local,635
2011-12,ACT,Research,Government,Australian Government,183
2011-12,ACT,Research,Government,State and local,44
2011-12,NT,Administration,Government,Australian Government,7
2011-12,NT,Administration,Government,State and local,0
2011-12,NT,Aids and appliances,Government,Australian Government,5
2011-12,NT,All other medications,Government,Australian Government,10
2011-12,NT,Benefit-paid pharmaceuticals,Government,Australian Government,52
2011-12,NT,Capital expenditure,Government,Australian Government,17
2011-12,NT,Capital expenditure,Government,State and local,119
2011-12,NT,Community health,Government,Australian Government,199
2011-12,NT,Community health,Government,State and local,282
2011-12,NT,Dental services,Government,Australian Government,5
2011-12,NT,Dental services,Government,State and local,12
2011-12,NT,Medical expense tax rebate,Government,Australian Government,16
2011-12,NT,Medical services,Government,Australian Government,142
2011-12,NT,Other health practitioners,Government,Australian Government,8
2011-12,NT,Other health practitioners,Government,State and local,6
2011-12,NT,Patient transport services,Government,Australian Government,11
2011-12,NT,Patient transport services,Government,State and local,58
2011-12,NT,Private hospitals,Government,Australian Government,12
2011-12,NT,Private hospitals,Government,State and local,1
